time,Time_Domain,Frequency_Spectrum
0.829,0.506759,0.506759
0.83,0.474739,0.474739
0.831,0.451057,0.451057
0.832,0.435932,0.435932
0.833,0.429299,0.429299
0.834,0.430803,0.430803
0.835,0.439819,0.439819
0.836,0.455464,0.455464
0.837,0.476621,0.476621
0.838,0.501973,0.501973
0.839,0.530039,0.530039
0.84,0.559207,0.559207
0.841,0.587785,0.587785
0.842,0.614044,0.614044
0.843,0.636262,0.636262
0.844,0.652775,0.652775
0.845,0.662017,0.662017
0.846,0.66257,0.66257
0.847,0.653198,0.653198
0.848,0.632885,0.632885
0.849,0.600861,0.600861
0.85,0.556635,0.556635
0.851,0.5,0.5
0.852,0.431054,0.431054
0.853,0.350195,0.350195
0.854,0.258122,0.258122
0.855,0.155819,0.155819
0.856,0.0445364,0.0445364
0.857,-0.0742319,-0.0742319
0.858,-0.198784,-0.198784
0.859,-0.327245,-0.327245
0.86,-0.45761,-0.45761
0.861,-0.587785,-0.587785
0.862,-0.715641,-0.715641
0.863,-0.839056,-0.839056
0.864,-0.955964,-0.955964
0.865,-1.06441,-1.06441
0.866,-1.16257,-1.16257
0.867,-1.24884,-1.24884
0.868,-1.32181,-1.32181
0.869,-1.38036,-1.38036
0.87,-1.42362,-1.42362
0.871,-1.45106,-1.45106
0.872,-1.46243,-1.46243
0.873,-1.45782,-1.45782
0.874,-1.43762,-1.43762
0.875,-1.40254,-1.40254
0.876,-1.35355,-1.35355
0.877,-1.29192,-1.29192
0.878,-1.21911,-1.21911
0.879,-1.1368,-1.1368
0.88,-1.0468,-1.0468
0.881,-0.951057,-0.951057
0.882,-0.851559,-0.851559
0.883,-0.750319,-0.750319
0.884,-0.649311,-0.649311
0.885,-0.550435,-0.550435
0.886,-0.455464,-0.455464
0.887,-0.366005,-0.366005
0.888,-0.283465,-0.283465
0.889,-0.209019,-0.209019
0.89,-0.14358,-0.14358
0.891,-0.0877853,-0.0877853
0.892,-0.0419826,-0.0419826
0.893,-0.00622542,-0.00622542
0.894,0.019724,0.019724
0.895,0.0363839,0.0363839
0.896,0.0445364,0.0445364
0.897,0.0452027,0.0452027
0.898,0.0396139,0.0396139
0.899,0.0291753,0.0291753
0.9,0.0154267,0.0154267
0.901,-1.54361e-14,-1.54361e-14
0.902,-0.0154267,-0.0154267
0.903,-0.0291753,-0.0291753
0.904,-0.0396139,-0.0396139
0.905,-0.0452027,-0.0452027
0.906,-0.0445364,-0.0445364
0.907,-0.0363839,-0.0363839
0.908,-0.019724,-0.019724
